"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 06 05:35:56 GMT 2024","Tue Feb 06 05:35:57 GMT 2024","779","tests","test_customer_creation","TestCustomerCreation","","","test_get_customer_by_app_user_id","Test the customer creation process"
"passed","Tue Feb 06 05:35:57 GMT 2024","Tue Feb 06 05:35:58 GMT 2024","781","tests","test_customer_creation","TestCustomerCreation","","","test_get_customer_by_id","Test the customer creation process"
"failed","Tue Feb 06 05:35:55 GMT 2024","Tue Feb 06 05:35:56 GMT 2024","771","tests","test_customer_creation","TestCustomerCreation","","","test_list_customers","Test the customer creation process"
