"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 05 21:55:17 GMT 2024","Mon Feb 05 21:55:18 GMT 2024","828","tests","test_customer_creation","TestCustomerCreation","","","test_get_customer_by_app_user_id","Test the customer creation process"
"failed","Mon Feb 05 21:55:16 GMT 2024","Mon Feb 05 21:55:17 GMT 2024","1156","tests","test_customer_creation","TestCustomerCreation","","","test_list_customers","Test the customer creation process"
"passed","Mon Feb 05 21:55:18 GMT 2024","Mon Feb 05 21:55:19 GMT 2024","836","tests","test_customer_creation","TestCustomerCreation","","","test_get_customer_by_id","Test the customer creation process"
